Throughput: 25.25
[2025-04-14 15:24:47.923] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 15:24:48.297] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:48.671] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:49.045] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:49.418] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:49.792] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:50.164] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:50.536] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1408.960 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:50.910] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:51.281] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:51.655] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:52.029] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:52.401] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:52.773] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:53.146] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:53.518] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:53.893] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1411.200 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:54.264] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:54.637] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1449.216 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:55.010] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1408.960 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 15:24:55.383] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1408.960 mW, VDD_SOC: 2016.000 mW,
