Throughput: 69.63
[2025-04-14 15:27:53.359] VDD_IN: 6421.056 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:53.733] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:54.109] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:54.485] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:54.860] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1733.760 mW,
[2025-04-14 15:27:55.233] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:55.610] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:55.986] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:56.363] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1776.896 mW,
[2025-04-14 15:27:56.743] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:57.117] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:57.495] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:57.868] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:58.240] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:58.614] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1491.840 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:58.990] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:59.365] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:27:59.739] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:00.111] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:00.487] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:00.861] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:01.235] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:01.611] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:01.986] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1776.896 mW,
[2025-04-14 15:28:02.357] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:02.733] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:03.111] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:03.486] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:03.862] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:04.236] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:04.613] VDD_IN: 6380.672 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:04.991] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:05.368] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:05.745] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:06.122] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:06.493] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1776.896 mW,
[2025-04-14 15:28:06.869] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:07.246] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:07.618] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
[2025-04-14 15:28:07.995] VDD_IN: 6340.288 mW, VDD_CPU_GPU_CV: 1451.520 mW, VDD_SOC: 1774.080 mW,
