Throughput: 98.75
[2025-04-18 17:04:36.317] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:36.702] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:37.088] VDD_IN: 7257.600 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:37.471] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 17:04:37.855] VDD_IN: 7257.600 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:38.241] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 17:04:38.622] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:39.003] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:39.392] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:39.778] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:40.159] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:40.545] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:40.926] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:41.308] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:04:41.691] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:04:42.074] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1935.360 mW,
