Throughput: 36.66
[2025-04-18 17:12:38.244] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 17:12:38.629] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 17:12:39.015] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 17:12:39.398] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:39.786] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:40.163] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:40.545] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:40.928] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:41.314] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:41.704] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:42.087] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:42.471] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 17:12:42.851] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:43.238] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:43.624] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:44.005] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:44.391] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 17:12:44.771] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:45.158] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 17:12:45.534] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 2053.056 mW,
