Throughput: 47.91
[2025-04-18 17:06:11.399] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 17:06:11.781] VDD_IN: 7096.320 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:12.165] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:12.550] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:12.931] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:13.320] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:13.711] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:14.092] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:14.480] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:14.861] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:15.238] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:15.616] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:16.003] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:16.393] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:16.776] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:17.168] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:17.548] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 17:06:17.942] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1854.720 mW,
