Throughput: 83.73
[2025-04-19 17:18:18.350] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-19 17:18:18.736] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-19 17:18:19.118] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:19.506] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:19.888] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:20.272] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:20.659] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:21.041] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:21.429] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:21.815] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:22.201] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:22.589] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:22.974] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:23.363] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:23.751] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:24.132] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:24.522] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:24.905] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:25.285] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:25.677] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:26.063] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:26.455] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2056.320 mW,
[2025-04-19 17:18:26.841] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:27.223] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:27.614] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:27.996] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:28.380] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:18:28.761] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
