Throughput: 57.13
[2025-04-19 17:24:43.863] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:44.248] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:44.631] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:45.011] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:45.392] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:45.780] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:46.163] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:46.546] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:46.934] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:47.314] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:47.699] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:48.080] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:48.457] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:48.831] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:49.213] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:49.592] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:49.971] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:50.358] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:50.734] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:51.113] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:51.493] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2817.920 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:51.876] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:52.262] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1895.040 mW,
[2025-04-19 17:24:52.646] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
[2025-04-19 17:24:53.022] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1854.720 mW,
