Throughput: 49.96
[2025-04-19 17:38:32.233] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:32.608] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:32.992] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:33.370] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:33.750] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:34.132] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:34.509] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:34.890] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:35.271] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:35.651] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:36.032] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:36.410] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:36.795] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 2016.000 mW,
[2025-04-19 17:38:37.174] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:37.550] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:37.928] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:38.304] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:38.687] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:39.066] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:39.448] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:39.830] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:40.207] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:40.586] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:40.967] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:41.346] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:41.722] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:42.104] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:42.487] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:42.866] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:43.248] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:43.626] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:44.009] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:44.390] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:44.768] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:45.150] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:45.532] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1975.680 mW,
[2025-04-19 17:38:45.914] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1935.360 mW,
[2025-04-19 17:38:46.291] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 1895.040 mW,
