Throughput: 41.08
[2025-04-19 17:43:22.142] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1932.288 mW,
[2025-04-19 17:43:22.526] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:22.906] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:23.284] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:23.665] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:24.046] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:24.428] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:24.806] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:25.188] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:25.568] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:25.945] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:26.323] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:26.701] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:27.080] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:27.467] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:27.845] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:28.227] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:28.607] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:28.984] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:29.366] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:29.746] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:30.132] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:30.512] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:30.891] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:31.272] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:31.653] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:32.032] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:32.408] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:32.788] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:33.170] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:33.549] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:33.931] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:34.312] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:34.693] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:35.075] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:35.455] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:35.836] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:36.222] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-19 17:43:36.601] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
