Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,51.54,6327.427,1571.493,1653.12,272079.36,67574.208,71084.16
gpu,714000000,93.03,7840.833,2762.133,1773.163,337155.84,118771.712,76246.016
gpu,918000000,107.21,8934.087,3731.462,1815.18,393099.84,164184.32,79867.904
gpu,408000000,64.64,6701.559,1826.499,1693.44,288167.04,78539.456,72817.92
gpu,510000000,75.00,7015.68,2053.992,1733.76,301674.24,88321.664,74551.68
gpu,816000000,100.07,8314.694,3181.562,1811.52,365846.528,139988.736,79706.88
gpu,612000000,83.25,7293.232,2288.975,1760.953,313608.96,98425.92,75720.96
dla0,306000000,36.72,6732.502,1361.215,1915.669,289497.6,58532.224,82373.76
dla0,714000000,49.62,7760.193,2025.907,2053.864,333688.32,87113.984,88316.16
dla0,918000000,52.32,8444.398,2646.129,2093.312,363109.12,113783.552,90012.416
dla0,408000000,41.35,6969.734,1489.472,1969.116,299698.56,64047.296,84672.0
dla0,510000000,44.72,7182.586,1609.304,1997.247,308851.2,69200.064,85881.6
dla0,816000000,50.97,8060.855,2291.114,2060.545,346616.768,98517.888,88603.456
dla0,612000000,47.13,7384.186,1731.008,2016.0,317520.0,74433.344,86688.0
