Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,40.31,6662.88,1731.008,1733.76,293166.72,76164.352,76285.44
gpu,714000000,74.70,8508.995,3143.388,1892.032,365886.784,135165.696,81357.376
gpu,918000000,87.63,9821.528,4281.564,1947.267,422325.696,184107.264,83732.48
gpu,408000000,50.81,7131.952,2052.12,1774.08,306673.92,88241.152,76285.44
gpu,510000000,60.10,7531.401,2335.784,1815.338,323850.24,100438.72,78059.52
gpu,816000000,81.77,9099.728,3654.668,1929.479,391288.32,157150.72,82967.616
gpu,612000000,67.87,7911.159,2614.543,1852.666,340179.84,112425.344,79664.64
dla0,306000000,34.80,6683.956,1651.411,1742.007,294094.08,72662.08,76648.32
dla0,714000000,57.65,8107.179,2732.121,1892.032,348608.704,117481.216,81357.376
dla0,918000000,64.48,9107.218,3617.146,1932.288,391610.368,155537.28,83088.384
dla0,408000000,42.39,7034.007,1891.117,1805.236,309496.32,83209.152,79430.4
dla0,510000000,48.65,7341.053,2095.184,1830.34,315665.28,90092.928,78704.64
dla0,816000000,61.03,8565.379,3121.274,1916.735,376876.672,137336.064,84336.32
dla0,612000000,53.28,7627.044,2295.528,1854.72,327962.88,98707.712,79752.96
