Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,125.33,6529.965,1678.582,1693.44,280788.48,72179.008,72817.92
gpu,714000000,203.48,7924.287,2768.575,1813.462,340744.32,119048.704,77978.88
gpu,918000000,221.18,8822.617,3616.345,1812.456,379372.544,155502.848,77935.616
gpu,408000000,152.30,6854.4,1923.662,1733.76,287884.8,80793.792,72817.92
gpu,510000000,171.55,7131.952,2123.27,1754.389,306673.92,91300.608,75438.72
gpu,816000000,209.45,8281.502,3116.282,1811.52,356104.576,134000.128,77895.36
gpu,612000000,186.98,7402.002,2336.72,1774.08,318286.08,100478.976,76285.44
dla0,306000000,160.79,6409.942,1338.795,1774.08,275627.52,57568.192,76285.44
dla0,714000000,182.53,7103.821,1897.649,1815.338,305464.32,81598.912,78059.52
dla0,918000000,188.71,7719.873,2455.616,1853.714,331954.56,105591.488,79709.696
dla0,408000000,172.25,6572.16,1450.152,1805.961,282602.88,62356.544,77656.32
dla0,510000000,174.54,6679.055,1530.664,1814.4,287199.36,65818.56,78019.2
dla0,816000000,186.69,7381.309,2136.313,1821.731,324777.6,93997.76,80156.16
dla0,612000000,176.06,6805.641,1638.326,1813.462,292642.56,70448.0,77978.88
