Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,37.74,6331.178,1466.664,1693.44,272240.64,63066.56,72817.92
gpu,714000000,50.23,7174.08,2178.616,1740.48,301311.36,91501.888,73100.16
gpu,918000000,53.24,7855.383,2814.397,1771.867,329926.08,118204.672,74418.432
gpu,408000000,42.34,6528.96,1610.24,1733.76,274216.32,67630.08,72817.92
gpu,510000000,45.35,6683.52,1731.966,1733.76,280707.84,72742.592,72817.92
gpu,816000000,51.73,7475.14,2457.488,1773.142,321431.04,105672.0,76245.12
gpu,612000000,47.83,6843.148,1863.01,1733.76,294255.36,80109.44,74551.68
dla0,306000000,25.25,6741.879,1207.68,1966.303,289900.8,51930.24,84551.04
dla0,714000000,27.77,7364.16,1690.752,2016.0,309294.72,71011.584,84672.0
dla0,918000000,28.17,7904.595,2191.82,2012.874,339897.6,94248.256,86553.6
dla0,408000000,26.19,6866.59,1286.32,1975.68,295263.36,55311.744,84954.24
dla0,510000000,26.82,6982.08,1359.119,1977.6,293247.36,57083.008,83059.2
dla0,816000000,28.01,7596.1,1900.458,2015.062,326632.32,81719.68,86647.68
dla0,612000000,27.32,7097.258,1449.216,1998.184,305182.08,62316.288,85921.92
