Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,73.39,6212.093,1491.785,1653.12,267120.0,64146.752,71084.16
gpu,714000000,93.53,7015.68,2174.782,1693.44,294658.56,91340.864,71124.48
gpu,918000000,98.95,7675.803,2817.805,1694.378,330059.52,121165.632,72858.24
gpu,408000000,79.39,6372.48,1612.157,1654.08,267644.16,67710.592,69471.36
gpu,510000000,85.39,6510.72,1731.966,1681.92,273450.24,72742.592,70640.64
gpu,816000000,95.19,7315.2,2454.658,1693.44,307238.4,103095.616,71124.48
gpu,612000000,89.01,6680.93,1859.265,1693.44,287280.0,79948.416,72817.92
dla0,306000000,73.60,6124.889,1250.858,1696.253,263370.24,53786.88,72938.88
dla0,714000000,82.24,6716.562,1771.264,1733.76,288812.16,76164.352,74551.68
dla0,918000000,84.60,7258.56,2281.173,1733.76,304859.52,95809.28,72817.92
dla0,408000000,76.61,6213.968,1332.385,1723.446,267200.64,57292.544,74108.16
dla0,510000000,79.17,6322.56,1410.505,1733.76,265547.52,59241.216,72817.92
dla0,816000000,82.60,6958.08,1975.419,1733.76,292239.36,82967.616,72817.92
dla0,612000000,80.66,6455.04,1526.853,1733.76,271111.68,64127.808,72817.92
