Throughput: 50.97
[2025-06-16 23:35:25.669] VDD_IN: 8091.456 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:26.016] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:26.365] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:26.712] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:27.061] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:27.409] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:27.756] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:28.103] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:28.451] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:28.798] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:29.146] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:29.494] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:29.840] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:30.190] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:30.537] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:30.886] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:31.235] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:31.585] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:31.935] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:32.285] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:32.633] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:32.982] VDD_IN: 8091.456 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:33.335] VDD_IN: 8091.456 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:33.684] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:34.034] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:34.382] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:34.729] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:35.078] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:35.428] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:35.776] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:36.124] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:36.472] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:36.820] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:37.168] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:37.517] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:37.867] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:38.215] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:38.563] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:38.911] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:39.259] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:39.609] VDD_IN: 8051.200 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2053.056 mW,
[2025-06-16 23:35:39.954] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2290.944 mW, VDD_SOC: 2093.312 mW,
[2025-06-16 23:35:40.302] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2053.056 mW,
