Throughput: 51.54
[2025-06-16 20:28:03.969] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:04.314] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:04.660] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:05.007] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:05.354] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:05.701] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:06.046] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:06.394] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:06.739] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:07.084] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:07.430] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:07.776] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:08.122] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:08.468] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:08.814] VDD_IN: 6289.920 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:09.161] VDD_IN: 6289.920 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:09.508] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:09.854] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:10.199] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:10.546] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:10.892] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:11.238] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:11.584] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:11.930] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:12.277] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:12.622] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:12.971] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:13.319] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:13.665] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:14.012] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:14.359] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:14.705] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:15.051] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:15.396] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:15.743] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:16.090] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:16.438] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:16.786] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:17.133] VDD_IN: 6289.920 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:17.478] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:17.824] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1572.480 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:18.171] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:28:18.516] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1653.120 mW,
