Throughput: 34.80
[2025-06-16 22:19:56.973] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1690.752 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:19:57.320] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:19:57.666] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:19:58.013] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:19:58.359] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:19:58.707] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:19:59.054] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:19:59.403] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:19:59.753] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:00.100] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:00.449] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:00.800] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:01.145] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:20:01.491] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:01.837] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:02.184] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:02.533] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:02.883] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:03.230] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:03.578] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:03.924] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
[2025-06-16 22:20:04.271] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1733.760 mW,
