Throughput: 60.10
[2025-06-16 21:01:52.541] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 21:01:52.888] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:53.238] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:53.588] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:53.936] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:54.286] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:54.637] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:54.986] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:55.336] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:55.687] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:56.034] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:56.382] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:56.733] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:57.083] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:57.435] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:57.783] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:58.130] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:58.477] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:58.829] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:59.176] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:59.523] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:01:59.872] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:00.220] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:00.569] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:00.917] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:01.264] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:01.614] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:01.967] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:02.316] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:02.664] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:03.011] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:03.362] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:03.713] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:04.062] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:04.410] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:04.760] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:05.108] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:05.457] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:05.808] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:06.156] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:06.506] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:06.853] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 21:02:07.200] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1814.400 mW,
