Throughput: 174.54
[2025-06-16 22:53:45.028] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1569.984 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:45.378] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:45.725] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:46.071] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:46.419] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:46.775] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:47.129] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:47.476] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:47.827] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:48.177] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:48.530] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:48.882] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:49.233] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:49.582] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:49.932] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:50.280] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:50.625] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:50.975] VDD_IN: 6652.800 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:51.324] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:51.676] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:52.026] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:52.377] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:52.730] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:53.081] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:53.426] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 22:53:53.772] VDD_IN: 6693.120 mW, VDD_CPU_GPU_CV: 1529.728 mW, VDD_SOC: 1814.400 mW,
