Throughput: 186.98
[2025-06-16 21:20:04.193] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:04.543] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:04.893] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:05.242] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:05.592] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:05.942] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:06.290] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:06.638] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:06.987] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:07.338] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:07.688] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:08.041] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:08.390] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:08.743] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:09.096] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:09.446] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:09.795] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 21:20:10.147] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1774.080 mW,
