Throughput: 52.34
[2025-06-16 23:17:07.776] VDD_IN: 7257.600 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 23:17:08.133] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1854.720 mW,
[2025-06-16 23:17:08.491] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:08.845] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:09.199] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:09.556] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:09.913] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:10.274] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:10.627] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:10.985] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:11.342] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:11.701] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:12.057] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:12.411] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:12.767] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:13.122] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:13.475] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:13.829] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:14.187] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:14.541] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:14.898] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:15.252] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:15.610] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:15.964] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:16.318] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:16.673] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:17.027] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:17.391] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:17.748] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:18.105] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:18.460] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:18.816] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:19.169] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:19.525] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:19.877] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:20.231] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:20.590] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:20.945] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:21.298] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:21.660] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:22.015] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
[2025-06-16 23:17:22.367] VDD_IN: 7338.240 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1895.040 mW,
