Throughput: 43.77
[2025-06-16 20:41:00.485] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 20:41:00.835] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 20:41:01.185] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:01.539] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:01.891] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:02.242] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:02.595] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:02.947] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:03.300] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:03.651] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:04.002] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:04.352] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:04.705] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:05.057] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:05.410] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:05.765] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:06.117] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:06.466] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:06.820] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:07.171] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:07.527] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:07.880] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:08.233] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:08.585] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:08.939] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:09.292] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:09.645] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:09.998] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:10.349] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:10.702] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:11.058] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:11.411] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:11.761] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:12.114] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:12.464] VDD_IN: 6975.360 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:12.815] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:13.166] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:13.518] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:13.870] VDD_IN: 7056.000 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:14.221] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:14.573] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
[2025-06-16 20:41:14.924] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1814.400 mW,
