Throughput: 28.01
[2025-06-16 23:43:11.069] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:11.420] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:11.771] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:12.121] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:12.473] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:12.823] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:13.177] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:13.531] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:13.884] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:14.234] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:14.588] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:14.939] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:15.292] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:15.646] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:15.996] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:16.347] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:16.698] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:17.048] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:17.403] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:17.753] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:18.101] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:18.453] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:18.807] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:19.161] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:19.510] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:19.862] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:20.212] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:20.561] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:20.912] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:21.262] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:21.616] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:21.969] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:22.319] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:22.672] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:23.021] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:23.370] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:23.723] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:24.076] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:24.429] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:24.779] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:25.131] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 1932.288 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:25.481] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 2016.000 mW,
[2025-06-16 23:43:25.832] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1975.680 mW,
