Throughput: 53.24
[2025-06-16 22:09:31.244] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:31.594] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:31.947] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:32.304] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2853.632 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:32.656] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:33.008] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:33.362] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:33.722] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:34.073] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:34.428] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:34.780] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:35.134] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:35.492] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:35.846] VDD_IN: 7849.920 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:36.199] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:36.553] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:36.905] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:37.261] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:37.618] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:37.968] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:38.323] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:38.680] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:39.032] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:39.383] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:39.738] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:40.094] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:40.448] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:40.803] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:41.162] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:41.515] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:41.873] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:42.226] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:42.579] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:42.931] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1774.080 mW,
[2025-06-16 22:09:43.285] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:43.636] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:43.989] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:44.344] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:44.695] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:45.047] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:45.402] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
[2025-06-16 22:09:45.754] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1771.264 mW,
