Throughput: 79.39
[2025-06-16 20:54:01.709] VDD_IN: 6451.200 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1693.440 mW,
[2025-06-16 20:54:02.066] VDD_IN: 6410.880 mW, VDD_CPU_GPU_CV: 1650.496 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:02.420] VDD_IN: 6410.880 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:02.775] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:03.127] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:03.479] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:03.829] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:04.187] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:04.536] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:04.889] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:05.240] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:05.593] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:05.946] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:06.298] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:06.653] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:07.009] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:07.363] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:07.719] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:08.072] VDD_IN: 6330.240 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:08.425] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:08.778] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:09.128] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:09.482] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:09.837] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:10.198] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:10.551] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:10.908] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:11.261] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:11.614] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:11.967] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:12.320] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:12.677] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:13.032] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:13.384] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:13.738] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:14.090] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:14.443] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:14.802] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:15.156] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:15.508] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:15.859] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
[2025-06-16 20:54:16.209] VDD_IN: 6370.560 mW, VDD_CPU_GPU_CV: 1610.240 mW, VDD_SOC: 1653.120 mW,
