Device,Frequency,Throughput,VDD_IN_Avg,VDD_CPU_GPU_CV_Avg,VDD_SOC_Avg,VDD_IN_Sum,VDD_CPU_GPU_CV_Sum,VDD_SOC_Sum
gpu,306000000,117.71,6411.863,1613.595,1693.44,262886.4,66157.376,69431.04
gpu,714000000,176.84,7570.08,2553.237,1766.016,302803.2,102129.472,70640.64
gpu,918000000,193.21,8455.442,3353.018,1772.27,338217.664,134120.704,70890.816
gpu,408000000,139.37,6723.606,1814.466,1713.108,275667.84,74393.088,70237.44
gpu,510000000,153.59,6916.355,1972.544,1732.777,283570.56,80874.304,71043.84
gpu,816000000,185.39,7968.609,2899.35,1773.097,326712.96,118873.344,72696.96
gpu,612000000,165.43,7138.656,2161.747,1733.76,285546.24,86469.888,69350.4
dla0,306000000,147.76,6287.125,1290.24,1752.912,251484.992,51609.6,70116.48
dla0,714000000,167.37,6976.368,1851.776,1803.312,279054.72,74071.04,72132.48
dla0,918000000,173.35,7541.856,2375.104,1814.4,301674.24,95004.16,72576.0
dla0,408000000,150.99,6394.752,1370.88,1773.072,255790.08,54835.2,70922.88
dla0,510000000,157.14,6528.816,1475.653,1774.08,261152.64,59026.112,70963.2
dla0,816000000,168.20,7212.24,2068.152,1806.336,288489.6,82726.08,72253.44
dla0,612000000,163.87,6682.302,1572.007,1775.063,273974.4,64452.288,72777.6
